,Name,span_name,align_name,bridge_name,Station,Type,Angle,LeftWidth,RightWidth,SpaceList,PierAngleList,FundAngleList,H0,H1,SlopLeft,SlopRight,SlopReal,bridge,cap,ramp,BridgeLeft,BridgeRight,pier,pier_h,block_type,block_length,block_weight,cap_length,bridge_length,P1,P2,P3,span1,span2
205,SEC2/ML04L/P18,L1K+19115.000,L1K,SEC204L,19115.0,F2,90.0,22.0,7.4,"-14.1,12.5,0,0","0,0,0,0","0,0,0,0",1670.27439972201,1656.11525,4.0,4.0,4.0,"[-6.500000473909, 4.499999526428]","[-22.0, 7.4]",[0],6.500000473909,4.499999526428,[-20.6   6. ],14.159149722009943,"['CB17', 'CB18', 'CB17']","[8.649999999999999, 11.5, 8.649999999999999]","[104.97149999999998, 132.82500000000002, 104.97149999999998]",29.4,11.000000000337,-20.6,6.0,0.0,26.6,0.0
206,SEC2/ML04L/P19,L1K+19145.000,L1K,SEC204L,19145.0,F2,90.0,8.53796469892127,6.15131396059663,"-0.637964219076267,11.2513144404416,0,0","0,0,0,0","0,0,0,0",1670.45006586641,1655.8635,4.0,4.0,4.0,"[-6.500000479845, 4.499999523077]","[-8.53796469892127, 6.15131396059663]",[0],6.500000479845,4.499999523077,[-7.138   4.7513],14.586565866409956,"['CB17', 'CB17']","[7.1946393297589495, 7.1946393297589495]","[88.16208425871586, 88.16208425871586]",14.6892786595179,11.000000002922,-7.138,4.7513,0.0,11.889299999999999,0.0
207,SEC2/ML04L/P20,L1K+19175.000,L1K,SEC204L,19175.0,F2,90.0,7.99988481938025,6.9504718841965,"-0.0998843383212535,12.0504723652555,0,0","0,0,0,0","0,0,0,0",1670.55073329836,1655.688,4.0,4.0,4.0,"[-6.500000481059, 4.499999519393]","[-7.99988481938025, 6.9504718841965]",[0],6.500000481059,4.499999519393,[-6.5999  5.5505],14.862733298359899,"['CB17', 'CB17']","[7.325178351788375, 7.325178351788375]","[89.66980996315573, 89.66980996315573]",14.95035670357675,11.000000000452,-6.5999,5.5505,0.0,12.150400000000001,0.0
208,SEC2/ML04L/P21,L1K+19205.000,L1K,SEC204L,19205.0,F2,90.0,6.250000483832,8.86357025608405,"1.65,13.963570739916,0,0","0,0,0,0","0,0,0,0",1670.57639976161,1655.8025,4.0,4.0,4.0,"[-6.500000483832, 4.499999517776]","[-6.250000483832, 8.86357025608405]",[0],6.500000483832,4.499999517776,[-4.85    7.4636],14.773899761609982,"['CB17', 'CB17']","[7.406785369958024, 7.406785369958024]","[90.61237102301519, 90.61237102301519]",15.11357073991605,11.000000001608,-4.85,7.4636,0.0,12.3136,0.0
210,SEC2/ML04L/P23,L1K+19265.000,L1K,SEC204L,19265.0,F2,90.0,10.5299156243867,4.249519992857,"-2.62943789963173,9.349997717612,0,0","0,0,0,0","0,0,0,0",1670.40271424203,1656.922,1.50035294117654,1.50035294117654,1.5,"[-6.500477724755, 4.499519992857]","[-10.5299156243867, 4.249519992857]",[0],6.500477724755,4.499519992857,[-9.1299  2.8495],13.48071424202999,"['CB17', 'CB17']","[7.239717808621849, 7.239717808621849]","[88.68274068958236, 88.68274068958236]",14.7794356172437,10.999997717612,-9.1299,2.8495,0.0,11.979399999999998,0.0
211,SEC2/ML04L/P24,L1K+19295.000,L1K,SEC204L,19295.0,F2,90.0,6.249942827156,8.77541489264763,"1.65,13.8753577198036,0,0","0,0,0,0","0,0,0,0",1670.20151023201,1657.1665,-0.264352941176399,-0.264352941176399,-0.3,"[-6.499942827156, 4.500059855225]","[-6.249942827156, 8.77541489264763]",[0],6.499942827156,4.500059855225,[-4.8499  7.3754],13.035010232009881,"['CB17', 'CB17']","[7.3626788599018145, 7.3626788599018145]","[90.10294083186596, 90.10294083186596]",15.02535771980363,11.000002682381,-4.8499,7.3754,0.0,12.2253,0.0
226,SEC2/ML04L/P39,L1K+19706.000,L1K,SEC204L,19706.0,F2,90.0,6.250000880563,18.2631049002832,"1.65,23.3631057808462,0,0","0,0,0,0","0,0,0,0",1671.21856107589,1660.0543,2.5,2.5,2.5,"[-6.500000880563, 10.499976099461]","[-6.250000880563, 18.2631049002832]",[0],6.500000880563,10.499976099461,[-4.85   16.8631],11.164261075889954,"['CB17', 'CB18', 'CB17']","[6.2065528904231, 11.5, 6.2065528904231]","[76.74968588438682, 132.82500000000002, 76.74968588438682]",24.5131057808462,16.999976980024,-4.85,16.8631,0.0,21.713099999999997,0.0
227,SEC2/ML04L/P40,L1K+19736.000,L1K,SEC204L,19736.0,F2,90.0,6.250000883571,15.38410185431,"1.65,20.484102737881,0,0","0,0,0,0","0,0,0,0",1671.54082130157,1660.3542,2.5,2.5,2.5,"[-6.500000883571, 10.49997610062]","[-6.250000883571, 15.38410185431]",[0],6.500000883571,10.49997610062,[-4.85   13.9841],11.186621301570085,"['CB17', 'CB17']","[10.6670513689405, 10.6670513689405]","[128.26844331126279, 128.26844331126279]",21.634102737881,16.999976984191,-4.85,13.9841,0.0,18.8341,0.0
228,SEC2/ML04L/P41,L1K+19766.000,L1K,SEC204L,19766.0,F3,90.0,9.5,32.142129435491,"-1.5,19.33,34.8,0","0,0,0,0","0,0,0,0",1669.31105746251,1660.6622,2.5,2.5,0.0,"[-6.50000088681, 32.392129435491]","[-9.5, 32.142129435491]",[0],6.50000088681,32.392129435491,[-8.   12.83 28.3 ],8.648857462510023,"['CB17', 'CB18', 'CB21', 'CB18', 'CB17']","[5.129999999999998, 11.5, 10, 6.270000000000001, 5]","[64.31549999999999, 132.82500000000002, 145.97000000000003, 72.41850000000002, 62.81400000000001]",41.642129435491,38.892130322301,-8.0,12.83,28.3,20.83,15.47
230,SEC2/ML04L/P43,L1K+19846.000,L1K,SEC204L,19846.0,FC1,90.0,6.15,23.4846859789732,"10.8,28.7,0,0","0,0,0,0","0,0,0,0",1672.29638470836,1661.2713,2.5,2.5,2.5,"[-6.500000891778, 21.756266319001]","[-6.15, 23.4846859789732]",[0],6.500000891778,21.756266319001,[ 4.3 22.2],11.025084708359827,"['CB01', 'CB02', 'CB11', 'CB11']","[6.5, 7.3, 6.534685978973201, 8.4]","[58.38000000000001, 105.39500000000001, 64.97890810970746, 81.86000000000001]",29.634685978973202,28.256267210779,4.3,22.2,0.0,17.9,0.0
231,SEC2/ML04L/P44,L1K+19876.000,L1K,SEC204L,19876.0,FC1,90.0,6.15,23.0,"10.8,28.1,0,0","0,0,0,0","0,0,0,0",1672.44638049662,1661.3734,2.5,2.5,2.5,"[-6.500000894322, 19.168685196939]","[-6.15, 23.0]",[0],6.500000894322,19.168685196939,[ 4.3 21.6],11.072980496619948,"['CB01', 'CB02', 'CB11', 'CB11']","[6.5, 7.3, 6.049999999999997, 8.4]","[58.38000000000001, 105.39500000000001, 60.59249999999999, 81.86000000000001]",29.15,25.668686091260998,4.3,21.6,0.0,17.3,0.0
238,SEC2/ML04R/P01,R1K+19115.000,R1K,SEC204R,19115.0,F2,90.0,10.15,10.9,"7,20,0,0","0,0,0,0","0,0,0,0",1668.9022542985,1656.0705,2.5,2.5,2.5,"[-10.500082452552, 6.499999935108]","[-10.15, 10.9]",[0],10.500082452552,6.499999935108,[-3.5001  9.4999],12.831754298500073,"['CB17', 'CB17']","[10.6499, 10.1001]","[128.07034500000003, 121.720155]",21.05,17.00008238766,-3.5001,9.4999,0.0,13.0,0.0
239,SEC2/ML04R/P02,R1K+19145.000,R1K,SEC204R,19145.0,F2,90.0,10.250082455282,8.91475837196117,"1.65,18.0148408272432,0,0","0,0,0,0","0,0,0,0",1668.50676172253,1655.80425,2.5,2.5,2.5,"[-10.500082455282, 6.499999936266]","[-10.250082455282, 8.91475837196117]",[0],10.500082455282,6.499999936266,[-8.8501  7.5148],12.702511722530062,"['CB17', 'CB17']","[9.432420413621584, 9.432420413621584]","[114.0084557773293, 114.0084557773293]",19.164840827243168,17.000082391548,-8.8501,7.5148,0.0,16.3649,0.0
240,SEC2/ML04R/P03,R1K+19175.000,R1K,SEC204R,19175.0,F2,90.0,12.2020746830345,6.4181511120755,"-0.289851505216458,15.5303742898935,0,0","0,0,0,0","0,0,0,0",1668.03480252224,1655.39925,2.5,2.5,2.5,"[-10.512223177818, 6.499999940221]","[-12.2020746830345, 6.4181511120755]",[0],10.512223177818,6.499999940221,[-10.8021   5.0182],12.635552522240005,"['CB17', 'CB17']","[9.160112897554999, 9.160112897554999]","[110.86330396676026, 110.86330396676026]",18.62022579511,17.012223118039,-10.8021,5.0182,0.0,15.8203,0.0
241,SEC2/ML04R/P04,R1K+19205.000,R1K,SEC204R,19205.0,F2,90.0,12.0794276074222,6.249999942823,"0.0367165739567574,15.566144124202,0,0","0,0,0,0","0,0,0,0",1667.56132595181,1655.34325,2.5,2.5,2.5,"[-10.716144181379, 6.499999942823]","[-12.0794276074222, 6.249999942823]",[0],10.716144181379,6.499999942823,[-10.6794   4.85  ],12.218075951810079,"['CB17', 'CB17']","[9.0147137751226, 9.0147137751226]","[109.18394410266602, 109.18394410266602]",18.3294275502452,17.216144124202,-10.6794,4.85,0.0,15.529399999999999,0.0
242,SEC2/ML04R/P05,R1K+19235.000,R1K,SEC204R,19235.0,F2,90.0,11.124920497193,8.46433889487583,"1.65,18.4392593920688,0,0","0,0,0,0","0,0,0,0",1667.08784768457,1655.776,2.5,2.5,2.5,"[-11.374920497193, 6.499999945809]","[-11.124920497193, 8.46433889487583]",[0],11.374920497193,6.499999945809,[-9.7249  7.0643],11.311847684570012,"['CB17', 'CB17']","[9.644629696034414, 9.644629696034414]","[116.4594729891975, 116.4594729891975]",19.58925939206883,17.874920443001997,-9.7249,7.0643,0.0,16.7892,0.0
244,SEC2/ML04R/P07,R1K+19295.000,R1K,SEC204R,19295.0,F2,90.0,14.002403049367,6.249999948231,"1.65,19.102402997598,0,0","0,0,0,0","0,0,0,0",1666.31346631713,1656.27425,2.5,2.5,2.5,"[-14.252403049367, 6.499999948231]","[-14.002403049367, 6.249999948231]",[0],14.252403049367,6.499999948231,[-12.6024   4.85  ],10.039216317130013,"['CB17', 'CB17']","[9.976201498799, 9.976201498799]","[120.28912731112845, 120.28912731112845]",20.252402997598,20.752402997598,-12.6024,4.85,0.0,17.452399999999997,0.0
251,SEC2/ML04R/P14,R1K+19495.000,R1K,SEC204R,19495.0,F2,90.0,4.250000036694,17.323506072839,"1.65,20.423506109533,0,0","0,0,0,0","0,0,0,0",1664.46813524135,1659.742,2.5,2.5,0.0,"[-4.500000036694, 17.573506072839]","[-4.250000036694, 17.323506072839]",[0],4.500000036694,17.573506072839,[-2.85   15.9235],4.7261352413499935,"['CB17', 'CB17']","[10.6367530547665, 10.6367530547665]","[127.91849778255306, 127.91849778255306]",21.573506109533,22.073506109533,-2.85,15.9235,0.0,18.773500000000002,0.0
252,SEC2/ML04R/P15,R1K+19525.500,R1K,SEC204R,19525.5,F2,90.0,4.250000037016,13.728449642465,"1.65,16.828449679481,0,0","0,0,0,0","0,0,0,0",1664.9256352511,1659.8197,2.5,2.5,0.0,"[-4.500000037016, 13.978449642465]","[-4.250000037016, 13.728449642465]",[0],4.500000037016,13.978449642465,[-2.85   12.3284],5.105935251099936,"['CB17', 'CB17']","[8.839224839740499, 8.839224839740499]","[107.15704689900276, 107.15704689900276]",17.978449679481,18.478449679481,-2.85,12.3284,0.0,15.1784,0.0
253,SEC2/ML04R/P16,R1K+19556.000,R1K,SEC204R,19556.0,F2,90.0,4.250622583133,11.392079810479,"1.65,14.492702393612,0,0","0,0,0,0","0,0,0,0",1667.88313489284,1661.0022,2.5,2.5,2.5,"[-4.500622583133, 11.642079810479]","[-4.250622583133, 11.392079810479]",[0],4.500622583133,11.642079810479,[-2.8506  9.9921],6.8809348928400595,"['CB17', 'CB17']","[7.6713511968059995, 7.6713511968059995]","[93.6681063231093, 93.6681063231093]",15.642702393612,16.142702393611998,-2.8506,9.9921,0.0,12.8427,0.0
254,SEC2/ML04R/P17,R1K+19586.500,R1K,SEC204R,19586.5,F2,90.0,4.250362182917,10.249960665828,"1.65,13.350322848745,0,0","0,0,0,0","0,0,0,0",1668.3406349079,1660.447575,2.5,2.5,2.5,"[-4.500362182917, 10.499960665828]","[-4.250362182917, 10.249960665828]",[0],4.500362182917,10.499960665828,[-2.8504  8.85  ],7.893059907900124,"['CB17', 'CB17']","[7.1001614243725, 7.1001614243725]","[87.07086445150239, 87.07086445150239]",14.500322848745,15.000322848745,-2.8504,8.85,0.0,11.7004,0.0
255,SEC2/ML04R/P18,R1K+19617.000,R1K,SEC204R,19617.0,F2,90.0,4.250144541192,10.147709180815,"1.65,13.247853722007,0,0","0,0,0,0","0,0,0,0",1668.79678095296,1660.07575,1.64100000000005,1.64100000000005,1.6,"[-4.500144541192, 10.397709180815]","[-4.250144541192, 10.147709180815]",[0],4.500144541192,10.397709180815,[-2.8501  8.7477],8.721030952960064,"['CB17', 'CB17']","[7.048926861003499, 7.048926861003499]","[86.47910524459043, 86.47910524459043]",14.397853722007,14.897853722007,-2.8501,8.7477,0.0,11.5978,0.0
256,SEC2/ML04R/P19,R1K+19647.500,R1K,SEC204R,19647.5,F2,90.0,4.249985842032,8.622737348565,"1.65,11.722723190597,0,0","0,0,0,0","0,0,0,0",1669.25430087494,1660.186875,-0.153117647058774,-0.153117647058774,-0.2,"[-4.499985842032, 8.872737348565]","[-4.249985842032, 8.622737348565]",[0],4.499985842032,8.872737348565,[-2.85    7.2227],9.06742587494,"['CB17', 'CB17']","[6.2863615952985, 6.2863615952985]","[77.67147642569769, 77.67147642569769]",12.872723190597,13.372723190597,-2.85,7.2227,0.0,10.0727,0.0
299,SEC2/ML06/P06,M2K+21206.000,M2K,SEC206,21206.0,FC1,90.0,17.47810727793,10.450125154625,"1.4,17.478232432555,0,0","0,0,0,0","0,0,0,0",1680.83215544404,1671.3003,1.00963666666667,-2.5,-1.3,"[-17.47810727793, 10.800125154625]","[-17.47810727793, 10.450125154625]",[0],17.47810727793,10.800125154625,[-1.60781e+01  1.00000e-04],9.53185544403982,"['CB11', 'CB11', 'CB02', 'CB01']","[8.4, 4.828232432554998, 7.3, 6.5]","[81.86000000000001, 49.535503514622725, 105.39500000000001, 58.38000000000001]",27.928232432555,28.278232432555,-16.0781,0.0001,0.0,16.0782,0.0
300,SEC2/ML06/P07,M2K+21236.000,M2K,SEC206,21236.0,FC1,90.0,19.068176064411,10.450469127811,"1.4,19.068645192222,0,0","0,0,0,0","0,0,0,0",1680.89170452363,1671.5386,-0.290363333333335,-2.5,-1.1,"[-19.068176064411, 10.800469127811]","[-19.068176064411, 10.450469127811]",[0],19.068176064411,10.800469127811,[-1.76682e+01  5.00000e-04],9.353104523630009,"['CB11', 'CB11', 'CB02', 'CB01']","[8.4, 6.4186451922219945, 7.3, 6.5]","[81.86000000000001, 63.92873898960906, 105.39500000000001, 58.38000000000001]",29.518645192221996,29.868645192221997,-17.6682,0.0005,0.0,17.668699999999998,0.0
301,SEC2/ML06/P08,M2K+21266.000,M2K,SEC206,21266.0,FC1,90.0,20.96962592026,10.450868962917,"1.4,20.970494883177,0,0","0,0,0,0","0,0,0,0",1680.80339938123,1671.4969,-1.59036333333334,-2.5,-1.9,"[-20.96962592026, 10.800868962917]","[-20.96962592026, 10.450868962917]",[0],20.96962592026,10.800868962917,[-1.95696e+01  9.00000e-04],9.306499381229969,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 3.870494883176998, 4.15, 7.3, 6.5]","[94.709, 35.02797869275184, 43.39750000000001, 105.39500000000001, 58.38000000000001]",31.420494883177,31.770494883177,-19.5696,0.0009,0.0,19.570500000000003,0.0
302,SEC2/ML06/P09,M2K+21296.000,M2K,SEC206,21296.0,FC1,90.0,23.05106633661,10.451271509726,"1.4,23.052337846336,0,0","0,0,0,0","0,0,0,0",1680.69282801378,1671.379,-2.89036333333333,-2.89036333333333,-2.9,"[-23.05106633661, 10.801271509726]","[-23.05106633661, 10.451271509726]",[0],23.05106633661,10.801271509726,[-2.16511e+01  1.30000e-03],9.31382801378004,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 5.952337846335996, 4.15, 7.3, 6.5]","[94.709, 53.86865750934077, 43.39750000000001, 105.39500000000001, 58.38000000000001]",33.502337846336,33.852337846336,-21.6511,0.0013,0.0,21.6524,0.0
307,SEC2/ML06/P14,M2K+21446.000,M2K,SEC206,21446.0,F3,90.0,15.4784088582513,17.0659221098985,"-2.90808108806726,10.5814706776935,26.8362498800825,0","0,0,0,0","0,0,0,0",1679.84880628492,1668.8016,-2.92778461538457,-2.92778461538457,-2.9,"[-11.170327770184, 12.107087205326]","[-15.4784088582513, 17.0659221098985]",[0],11.170327770184,12.107087205326,[-14.0784  -0.5889  15.6659],11.047206284920094,"['CB17', 'CB21', 'CB18', 'CB17']","[9.5895, 10, 7.0548, 5]","[115.822725, 145.97000000000003, 81.48294000000001, 62.81400000000001]",32.5443309681498,23.27741497551,-14.0784,-0.5889,15.6659,13.4895,16.2548
308,SEC2/ML06/P15,M2K+21476.000,M2K,SEC206,21476.0,F3,90.0,15.3258,16.07414,"-2.9,11,25.7,0","0,0,0,0","0,0,0,0",1679.67709376285,1668.1166,-2.00470769230764,-2.00470769230764,-2.0,"[-11.02586928404, 13.341477835237]","[-15.3258, 16.07414]",[0],11.02586928404,13.341477835237,[-13.9259  -0.0259  14.6741],11.560493762850001,"['CB17', 'CB21', 'CB17']","[10.0, 10, 10.799999999999999]","[120.564, 145.97000000000003, 129.804]",31.39994,24.367347119277,-13.9259,-0.0259,14.6741,13.9,14.7
309,SEC2/ML06/P16,M2K+21506.000,M2K,SEC206,21506.0,F3,90.0,14.5606237629201,15.3899318188089,"-2.27964858125306,11.1970936210814,24.8709070004759,0","0,0,0,0","0,0,0,0",1679.50544653519,1667.615,-1.08163076923072,-1.08163076923072,-1.1,"[-10.880975181667, 13.800326931547]","[-14.5606237629201, 15.3899318188089]",[0],10.880975181667,13.800326931547,[-13.1606   0.3161  13.9899],11.890446535189994,"['CB17', 'CB21', 'CB17']","[9.5767, 10, 9.7738]","[115.67488499999999, 145.97000000000003, 117.95138999999999]",29.950555581729,24.681302113214002,-13.1606,0.3161,13.9899,13.476700000000001,13.6738
310,SEC2/ML06/P17,M2K+21536.000,M2K,SEC206,21536.0,F3,90.0,13.4775697565065,16.5131271327653,"-1.27550080098252,12.2489324734262,25.9151960882893,0","0,0,0,0","0,0,0,0",1679.33383987072,1667.328,-0.158553846153798,-0.158553846153798,-0.2,"[-10.802068955524, 13.81371700672]","[-13.4775697565065, 16.5131271327653]",[0],10.802068955524,13.81371700672,[-12.0776   1.4469  15.1131],12.005839870720138,"['CB17', 'CB21', 'CB17']","[9.6245, 10, 9.7662]","[116.226975, 145.97000000000003, 117.86361]",29.990696889271803,24.615785962243997,-12.0776,1.4469,15.1131,13.5245,13.6662
311,SEC2/ML06/P18,M2K+21566.000,M2K,SEC206,21566.0,F3,90.0,12.1735053490973,16.929136105267,"0.0267911543046924,13.3744269764009,26.329432608669,0","0,0,0,0","0,0,0,0",1679.17218204231,1667.3184,0.955653846153907,0.955653846153907,1.0,"[-10.800296503402, 13.985878104236]","[-12.1735053490973, 16.929136105267]",[0],10.800296503402,13.985878104236,[-10.7735   2.5741  15.5291],11.853782042309831,"['CB17', 'CB21', 'CB17']","[9.4476, 10, 9.055]","[114.18378000000001, 145.97000000000003, 109.64925]",29.1026414543643,24.786174607638003,-10.7735,2.5741,15.5291,13.3476,12.955
312,SEC2/ML06/P19,M2K+21591.000,M2K,SEC206,21591.0,F3,90.0,12.012870934748,17.7723493657098,"0.187990572640011,13.8920107186024,27.1732108730978,0","0,0,0,0","0,0,0,0",1679.05126774412,1666.91665,1.91719230769237,1.91719230769237,1.9,"[-10.800861507388, 14.455904063563]","[-12.012870934748, 17.7723493657098]",[0],10.800861507388,14.455904063563,[-10.6129   3.0911  16.3723],12.134617744120078,"['CB17', 'CB21', 'CB17']","[9.804, 10, 9.381199999999998]","[118.30020000000002, 145.97000000000003, 113.41685999999999]",29.7852203004578,25.256765570951,-10.6129,3.0911,16.3723,13.704,13.281199999999998
313,SEC2/ML06/P20,M2K+21616.000,M2K,SEC206,21616.0,F3,90.0,12.4533124384629,17.8869546644701,"-0.252370276942907,13.6782383256838,27.2878968259901,0","0,0,0,0","0,0,0,0",1679.01210105027,1666.9118,2.87873076923083,2.87873076923083,2.9,"[-10.80094216152, 15.394247370982]","[-12.4533124384629, 17.8869546644701]",[0],10.80094216152,15.394247370982,[-11.0533   2.8773  16.487 ],12.10030105026999,"['CB17', 'CB21', 'CB17']","[10.0306, 10, 9.709699999999998]","[120.91743000000001, 145.97000000000003, 117.21103499999998]",30.340267102932998,26.195189532502,-11.0533,2.8773,16.487,13.9306,13.609699999999998
314,SEC2/ML06/P21,M2K+21646.000,M2K,SEC206,21646.0,F3,90.0,12.2227582046297,17.4262462927703,"-0.0211946234616751,13.2100760237196,26.8278098739383,0","0,0,0,0","0,0,0,0",1679.05300800326,1667.1448,4.03257692307698,4.03257692307698,4.0,"[-10.801563581168, 17.108078253226]","[-12.2227582046297, 17.4262462927703]",[0],10.801563581168,17.108078253226,[-10.8228   2.4085  16.0262],11.908208003259915,"['CB17', 'CB21', 'CB17']","[9.3313, 10, 9.717699999999999]","[112.84051500000001, 145.97000000000003, 117.30343500000001]",29.6490044974,27.909641834394,-10.8228,2.4085,16.0262,13.231300000000001,13.6177
315,SEC2/ML06/P22,M2K+21676.000,M2K,SEC206,21676.0,F3,90.0,12.6197210689357,19.064285844053,"-0.419724780174678,13.1253594923513,28.464282132814,0","0,0,0,0","0,0,0,0",1679.20770541638,1667.1758,5.0,5.0,5.0,"[-10.799996288761, 19.314285844053]","[-12.6197210689357, 19.064285844053]",[0],10.799996288761,19.314285844053,[-11.2197   2.3254  17.6643],12.031905416379914,"['CB17', 'CB21', 'CB17']","[9.6451, 10, 11.4389]","[116.46490499999999, 145.97000000000003, 137.18329500000002]",31.6840069129887,30.114282132813997,-11.2197,2.3254,17.6643,13.5451,15.3389
316,SEC2/ML06/P23,M2K+21705.000,M2K,SEC206,21705.0,F3,90.0,12.364157082478,21.51182794771,"-0.164160805782983,13.4236945802404,30.911824224405,0","0,0,0,0","0,0,0,0",1679.45501214667,1667.31375,5.0,5.0,5.0,"[-10.799996276695, 21.76182794771]","[-12.364157082478, 21.51182794771]",[0],10.799996276695,21.76182794771,[-10.9642   2.6237  20.1118],12.141262146669987,"['CB17', 'CB21', 'CB18', 'CB17']","[9.687899999999999, 10, 8.2881, 5]","[116.95924500000001, 145.97000000000003, 95.72755500000001, 62.81400000000001]",33.875985030188,32.561824224405,-10.9642,2.6237,20.1118,13.5879,17.4881
317,SEC2/ML06/P24,M2K+21735.000,M2K,SEC206,21735.0,F3,90.0,21.7630904919903,18.0280009702649,"-9.56309421500435,13.2513810780072,27.4279972472509,0","0,0,0,0","0,0,0,0",1679.81496583869,1667.5215,5.0,5.0,5.0,"[-10.799996276986, 12.100003724813]","[-21.7630904919903, 18.0280009702649]",[0],10.799996276986,12.100003724813,[-20.3631   2.4514  16.628 ],12.293465838689826,"['CB17', 'CB18', 'CB21', 'CB17']","[7.1145, 11.5, 10, 10.2766]","[87.236475, 132.82500000000002, 145.97000000000003, 123.75873000000001]",39.791091462255196,22.900000001799,-20.3631,2.4514,16.628,22.8145,14.1766
318,SEC2/ML06/P25,M2K+21765.000,M2K,SEC206,21765.0,F3,90.0,18.9943051488068,19.1933178018097,"-6.79430885793075,13.8734541716049,28.5933140926857,0","0,0,0,0","0,0,0,0",1680.28080080323,1667.4395,5.0,5.0,5.0,"[-10.799996290876, 12.100003710585]","[-18.9943051488068, 19.1933178018097]",[0],10.799996290876,12.100003710585,[-17.5943   3.0735  17.7933],12.84130080323007,"['CB17', 'CB18', 'CB21', 'CB17']","[5, 11.4678, 10, 10.819799999999999]","[62.81400000000001, 132.45309000000003, 145.97000000000003, 130.03269]",38.1876229506165,22.900000001461002,-17.5943,3.0735,17.7933,20.6678,14.7198
319,SEC2/ML06/P26,M2K+21795.000,M2K,SEC206,21795.0,F3,90.0,16.1779665350715,22.8394543933608,"-3.9779702150025,15.353961721688,32.2394507134298,0","0,0,0,0","0,0,0,0",1680.8525142255,1667.5325,5.0,5.0,5.0,"[-10.799996320069, 12.10000368322]","[-16.1779665350715, 22.8394543933608]",[0],10.799996320069,12.10000368322,[-14.778    4.554   21.4395],13.320014225500017,"['CB17', 'CB18', 'CB21', 'CB18', 'CB17']","[5, 10.132000000000001, 10, 7.685500000000001, 5]","[62.81400000000001, 117.02460000000002, 145.97000000000003, 88.76752500000002, 62.81400000000001]",39.0174209284323,22.900000003289,-14.778,4.554,21.4395,19.332,16.8855
320,SEC2/ML06/P27,M2K+21825.000,M2K,SEC206,21825.0,F2,90.0,13.6,11.75,"-1.4,17.86,0,0","0,0,0,0","0,0,0,0",1681.53011151365,1667.72025,5.0,5.0,5.0,"[-10.799996360646, 12.100003644024]","[-13.6, 11.75]",[0],10.799996360646,12.100003644024,[-12.2    7.06],13.809861513649821,"['CB17', 'CB18', 'CB17']","[5, 11.06, 8.690000000000001]","[62.81400000000001, 127.74300000000004, 105.43350000000004]",25.35,22.900000004669998,-12.2,7.06,0.0,19.259999999999998,0.0
321,SEC2/ML06/P28,M2K+21855.000,M2K,SEC206,21855.0,F2,90.0,10.549996413456,11.850003588291,"1.65,21.250000001747,0,0","0,0,0,0","0,0,0,0",1682.31359611656,1668.138,5.0,5.0,5.0,"[-10.799996413456, 12.100003588291]","[-10.549996413456, 11.850003588291]",[0],10.799996413456,12.100003588291,[-9.15 10.45],14.175596116559973,"['CB17', 'CB17']","[11.050000000873501, 11.050000000873501]","[132.69150001008896, 132.69150001008896]",22.400000001747003,22.900000001747003,-9.15,10.45,0.0,19.6,0.0
322,SEC2/ML06/P29,M2K+21885.000,M2K,SEC206,21885.0,F2,90.0,10.549996480656,14.5923157741696,"1.65,23.9923122548256,0,0","0,0,0,0","0,0,0,0",1683.20296418859,1668.77,5.0,5.0,5.0,"[-10.799996480656, 12.100003522704]","[-10.549996480656, 14.5923157741696]",[0],10.799996480656,12.100003522704,[-9.15   13.1923],14.43296418858995,"['CB17', 'CB18', 'CB17']","[6.521156127412801, 11.5, 6.521156127412801]","[80.38335327161786, 132.82500000000002, 80.38335327161786]",25.1423122548256,22.90000000336,-9.15,13.1923,0.0,22.3423,0.0
323,SEC2/ML06/P30,M2K+21915.000,M2K,SEC206,21915.0,F2,90.0,10.549996562127,18.6651251536394,"1.65,28.0651217157664,0,0","0,0,0,0","0,0,0,0",1684.16148035851,1669.37675,5.0,5.0,5.0,"[-10.799996562127, 12.100003444621]","[-10.549996562127, 18.6651251536394]",[0],10.799996562127,12.100003444621,[-9.15   17.2651],14.78473035851016,"['CB17', 'CB18', 'CB17']","[8.5575608578832, 11.5, 8.5575608578832]","[103.90382790855097, 132.82500000000002, 103.90382790855097]",29.2151217157664,22.900000006748,-9.15,17.2651,0.0,26.415100000000002,0.0
328,SEC2/ML06/P35,M2K+22060.000,M2K,SEC206,22060.0,F2,90.0,10.550033105577,13.0705382126556,"1.65,22.4705713182326,0,0","0,0,0,0","0,0,0,0",1688.63655312353,1670.72,2.5,-1.13827272727279,0.7,"[-10.800033105577, 10.799966901059]","[-10.550033105577, 13.0705382126556]",[0],10.800033105577,10.799966901059,[-9.15   11.6705],17.916553123529866,"['CB17', 'CB18', 'CB17']","[5.7602856591163, 11.5, 5.7602856591163]","[71.59529936279328, 132.82500000000002, 71.59529936279328]",23.6205713182326,21.600000006636,-9.15,11.6705,0.0,20.820500000000003,0.0
