,Name,span_name,align_name,bridge_name,Station,Type,Angle,LeftWidth,RightWidth,SpaceList,PierAngleList,FundAngleList,H0,H1,SlopLeft,SlopRight,SlopReal,bridge,cap,ramp,BridgeLeft,BridgeRight,pier,pier_h,block_type,block_length,block_weight,cap_length,bridge_length,P1,P2,P3,span1,span2
111,SEC2/ML02/P08,M1K+16370.000,M1K,SEC202,16370.0,FC2,90.0,25.0544543256299,10.450000422348,"-7.25418827467394,13.400266473304,19.400266473304,0","0,0,0,0","0,0,0,0",1667.23960473418,1655.3745,2.5,-2.5,0.6,"[-16.400266050956, 10.800000422348]","[-25.0544543256299, 10.450000422348]",[0],16.400266050956,10.800000422348,[-23.6545  -3.       3.    ],11.865104734180022,"['CB15', 'CB16', 'CB14', 'CB06']","[8.4, 6.054454747977903, 8.45, 11.7]","[91.759, 48.73836072122213, 87.27250000000001, 123.904]",35.5044547479779,27.200266473303998,-23.6545,-3.0,3.0,20.6545,6.0
112,SEC2/ML02/P09,M1K+16400.000,M1K,SEC202,16400.0,FC2,90.0,25.5012969680925,10.450000422466,"-4.85638094534448,16.244916445214,22.244916445214,0","0,0,0,0","0,0,0,0",1667.47871342977,1656.24,2.5,-2.5,0.8,"[-19.244916022748, 10.800000422466]","[-25.5012969680925, 10.450000422466]",[0],19.244916022748,10.800000422466,[-24.1013  -3.       3.    ],11.238713429770087,"['CB15', 'CB16', 'CB14', 'CB06']","[8.4, 6.501297390558502, 8.45, 11.7]","[91.759, 52.335443993995945, 87.27250000000001, 123.904]",35.9512973905585,30.044916445214,-24.1013,-3.0,3.0,21.1013,6.0
113,SEC2/ML02/P10,M1K+16430.000,M1K,SEC202,16430.0,FC2,90.0,26.9502680314803,10.450000422613,"-1.91530705495834,20.634961399135,26.634961399135,0","0,0,0,0","0,0,0,0",1667.64976863349,1656.497,2.5,-2.5,1.0,"[-23.634960976522, 10.800000422613]","[-26.9502680314803, 10.450000422613]",[0],23.634960976522,10.800000422613,[-25.5503  -3.       3.    ],11.15276863349004,"['CB15', 'CB16', 'CB14', 'CB06']","[8.4, 7.950268454093301, 8.45, 11.7]","[91.759, 63.99966105545108, 87.27250000000001, 123.904]",37.4002684540933,34.434961399135,-25.5503,-3.0,3.0,22.5503,6.0
114,SEC2/ML02/P11,M1K+16460.000,M1K,SEC202,16460.0,FC2,90.0,29.436987407447,10.450000422348,"1.4,26.436987829795,32.436987829795,0","0,0,0,0","0,0,0,0",1667.91108482136,1656.689,2.5,-2.5,0.0,"[-29.436987407447, 10.800000422348]","[-29.436987407447, 10.450000422348]",[0],29.436987407447,10.800000422348,[-28.037  -3.      3.   ],11.222084821359886,"['CB15', 'CB16', 'CB14', 'CB06']","[8.4, 10.436987829794997, 8.45, 11.7]","[91.759, 84.01775202984973, 87.27250000000001, 123.904]",39.886987829795,40.236987829795,-28.037,-3.0,3.0,25.037,6.0
123,SEC2/ML02/P20,M1K+16731.000,M1K,SEC202,16731.0,FC2,90.0,10.449310351099,21.7129349085996,"7.8,13.8,31.1122452596986,0","0,0,0,0","0,0,0,0",1669.32164390139,1658.3346,-0.535303333333298,-2.5,-1.8,"[-10.799310351099, 16.946280600649]","[-10.449310351099, 21.7129349085996]",[0],10.799310351099,16.946280600649,[-2.9993  3.0007 20.3129],10.987043901390052,"['CB06', 'CB14', 'CB15']","[11.7, 11.462245259698602, 8.4]","[123.904, 111.52107434057376, 91.759]",32.1622452596986,27.745590951748,-2.9993,3.0007,20.3129,6.0,17.312199999999997
124,SEC2/ML02/P21,M1K+16757.000,M1K,SEC202,16757.0,FC2,90.0,10.449409002716,20.2835964217923,"8.8,14.8,29.6830054245083,0","0,0,0,0","0,0,0,0",1669.38451817564,1657.9859,-1.48863666666663,-2.5,-2.1,"[-10.799409002716, 18.571867762262]","[-10.449409002716, 20.2835964217923]",[0],10.799409002716,18.571867762262,[-1.9994  4.0006 18.8836],11.398618175640195,"['CB06', 'CB14', 'CB15']","[11.7, 10.0330054245083, 8.4]","[123.904, 100.01569366729183, 91.759]",30.7330054245083,29.371276764978,-1.9994,4.0006,18.8836,6.0,14.883000000000001
125,SEC2/ML02/P22,M1K+16783.000,M1K,SEC202,16783.0,FC1,90.0,10.449480721327,20.535985093905,"10.8,29.935985093905,0,0","0,0,0,0","0,0,0,0",1669.39161965644,1657.78845,-2.44196999999996,-2.5,-2.5,"[-10.799480721327, 20.536504372578]","[-10.449480721327, 20.535985093905]",[0],10.799480721327,20.536504372578,[5.00000e-04 1.91365e+01],11.603169656440059,"['CB01', 'CB02', 'CB11', 'CB13', 'CB12']","[6.5, 7.3, 4.15, 3.435465815231999, 8.4]","[58.38000000000001, 105.39500000000001, 43.39750000000001, 31.09096562784959, 94.709]",30.985465815232,31.335985093905002,0.0005,19.1365,0.0,19.136000000000003,0.0
128,SEC2/ML02/P25,M1K+16865.000,M1K,SEC202,16865.0,FC1,90.0,22.228428165827,10.450001863196,"1.4,22.228430029023,0,0","0,0,0,0","0,0,0,0",1668.95428425302,1657.102,-3.0,-3.0,-3.0,"[-22.228428165827, 10.800001863196]","[-22.228428165827, 10.450001863196]",[0],22.228428165827,10.800001863196,[-20.8284   0.    ],11.852284253019889,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 5.128430029023003, 4.15, 7.3, 6.5]","[94.709, 46.412291762658185, 43.39750000000001, 105.39500000000001, 58.38000000000001]",32.678430029023005,33.028430029023,-20.8284,0.0,0.0,20.8284,0.0
129,SEC2/ML02/P26,M1K+16895.000,M1K,SEC202,16895.0,FC1,90.0,20.536013064209,10.450002068301,"1.4,20.53601513251,0,0","0,0,0,0","0,0,0,0",1668.67710458142,1657.00975,-3.0,-3.0,-3.0,"[-20.536013064209, 10.800002068301]","[-20.536013064209, 10.450002068301]",[0],20.536013064209,10.800002068301,[-19.136   0.   ],11.667354581420113,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 3.4360151325099997, 4.15, 7.3, 6.5]","[94.709, 31.0959369492155, 43.39750000000001, 105.39500000000001, 58.38000000000001]",30.98601513251,31.33601513251,-19.136,0.0,0.0,19.136,0.0
130,SEC2/ML02/P27,M1K+16925.000,M1K,SEC202,16925.0,FC1,90.0,28.732,10.450002273908,"-8.27,19.06,0,0","0,0,0,0","0,0,0,0",1668.37710401694,1657.3115,-3.0,-3.0,-3.0,"[-19.062005456773, 10.800002273908]","[-28.732, 10.450002273908]",[0],19.062005456773,10.800002273908,[-2.7332e+01 -2.0000e-03],11.065604016939915,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 11.632002273907995, 4.15, 7.3, 6.5]","[94.709, 105.26962057886736, 43.39750000000001, 105.39500000000001, 58.38000000000001]",39.182002273908,29.862007730681,-27.332,-0.002,0.0,27.330000000000002,0.0
